original_ID,aggregated_ID,aggregated_longitude,aggregated_latitude
105,0,-74.04514159,40.68981946
88,1,-74.01250227,40.706618012
45,2,-74.00340884333333,40.71334470333333
249,3,-74.00680560333333,40.731791460000004
113,4,-73.99761903250001,40.72632662
4,5,-73.98418171750001,40.721622960000005
68,6,-74.00186576,40.75042168
164,7,-73.990867574,40.74672196
137,8,-73.978954175,40.739277135
142,9,-73.9889338525,40.769565352499995
161,10,-73.97963930333333,40.76074467666666
229,11,-73.96914932666667,40.75417901
24,12,-73.971376825,40.793895735
236,13,-73.96269450666667,40.77716153
262,14,-73.95262848249999,40.77192589
74,15,-73.94140984,40.798046049999996
152,16,-73.95545670666667,40.810438913333336
42,17,-73.946029655,40.824305824999996
120,18,-73.964225635,40.783410185
127,19,-73.92574961000001,40.86531671666666
