OBJECTID,PU_AggregatedID
105,0
13,1
261,1
87,1
12,1
88,1
231,2
209,2
45,2
125,3
158,3
249,3
211,4
144,4
114,4
113,4
148,5
232,5
79,5
4,5
246,6
68,6
90,7
186,7
100,7
234,7
164,7
107,8
170,8
224,8
137,8
50,9
48,9
143,9
142,9
230,10
163,10
161,10
162,11
233,11
229,11
239,12
238,12
151,12
24,12
43,13
237,13
236,13
141,14
263,14
140,14
262,14
75,15
74,15
166,16
41,16
152,16
116,17
42,17
144,18
120,18
243,19
128,19
127,19
153,19
